_id,RSN,YEAR_REGISTERED,YEAR_EVALUATED,YEAR_BUILT,PROPERTY_TYPE,WARD,WARDNAME,SITE_ADDRESS,CONFIRMED_STOREYS,CONFIRMED_UNITS,EVALUATION_COMPLETED_ON,SCORE,RESULTS_OF_SCORE,NO_OF_AREAS_EVALUATED,ENTRANCE_LOBBY,ENTRANCE_DOORS_WINDOWS,SECURITY,STAIRWELLS,LAUNDRY_ROOMS,INTERNAL_GUARDS_HANDRAILS,GARBAGE_CHUTE_ROOMS,GARBAGE_BIN_STORAGE_AREA,ELEVATORS,STORAGE_AREAS_LOCKERS,INTERIOR_WALL_CEILING_FLOOR,INTERIOR_LIGHTING_LEVELS,GRAFFITI,EXTERIOR_CLADDING,EXTERIOR_GROUNDS,EXTERIOR_WALKWAYS,BALCONY_GUARDS,WATER_PEN_EXT_BLDG_ELEMENTS,PARKING_AREA,OTHER_FACILITIES,GRID,LATITUDE,LONGITUDE,X,Y
186296,4154561,2017.0,2019,1954.0,PRIVATE,8,Eglinton-Lawrence,14 SARANAC BLVD,3,26,2019-11-20,76,Evaluation needs to be conducted in 2 years,15,4.0,4.0,5.0,4.0,4.0,4.0,,4.0,,,4.0,4.0,5.0,3.0,3.0,3.0,,3.0,3.0,,N0823,43.721616760299995,-79.4332571257,310162.173,4842186.251
186297,4153967,2018.0,2019,1960.0,PRIVATE,8,Eglinton-Lawrence,24 SHALLMAR BLVD,4,52,2019-11-20,69,Evaluation needs to be conducted in 2 years,17,4.0,4.0,4.0,4.0,4.0,4.0,,4.0,3.0,,4.0,3.0,3.0,3.0,3.0,2.0,4.0,3.0,3.0,,N0832,43.7045285856,-79.4267238856,310690.23699999996,4840288.326
186298,4155758,2017.0,2019,2005.0,PRIVATE,8,Eglinton-Lawrence,515 ROSEWELL AVE,7,89,2019-11-20,93,Evaluation needs to be conducted in 3 years,19,5.0,4.0,5.0,4.0,,4.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,4.0,4.0,5.0,N0829,43.7222177359,-79.4134144337,311760.877,4842254.524
186299,4154483,2017.0,2019,1965.0,PRIVATE,8,Eglinton-Lawrence,120 SHELBORNE AVE,15,187,2019-11-20,79,Evaluation needs to be conducted in 2 years,20,4.0,5.0,4.0,3.0,4.0,3.0,4.0,4.0,3.0,4.0,4.0,4.0,5.0,4.0,5.0,5.0,3.0,5.0,2.0,4.0,N0827,43.7162590007,-79.4298519795,310437.032,4841591.256
186300,4154250,2017.0,2019,1962.0,PRIVATE,7,Humber River-Black Creek,137 LINDYLOU RD,7,114,2019-11-20,74,Evaluation needs to be conducted in 2 years,17,4.0,4.0,5.0,3.0,3.0,4.0,3.0,4.0,4.0,,4.0,4.0,5.0,3.0,4.0,3.0,,3.0,3.0,,W0727,43.7488905549,-79.5504144221,300694.74600000004,4845165.695
186301,4154532,,2019,1956.0,PRIVATE,8,Eglinton-Lawrence,86 NEPTUNE DR,3,12,2019-11-20,66,Evaluation needs to be conducted in 2 years,16,3.0,3.0,3.0,2.0,5.0,3.0,,3.0,,,2.0,4.0,5.0,4.0,3.0,3.0,4.0,4.0,2.0,,N0823,43.7325638685,-79.4373956547,309827.80100000004,4843402.16
186302,4155052,2017.0,2019,1967.0,PRIVATE,8,Eglinton-Lawrence,145 MARLEE AVE,18,315,2019-11-20,71,Evaluation needs to be conducted in 2 years,20,5.0,4.0,4.0,4.0,3.0,3.0,4.0,3.0,4.0,3.0,4.0,4.0,4.0,3.0,4.0,4.0,3.0,3.0,1.0,4.0,N0831,43.7032633519,-79.4410303906,309536.07399999996,4840154.407
186303,4152796,2017.0,2019,1981.0,SOCIAL HOUSING,20,Scarborough Southwest,110 MASON RD,7,53,2019-11-20,90,Evaluation needs to be conducted in 3 years,18,5.0,5.0,5.0,4.0,4.0,4.0,4.0,5.0,5.0,,5.0,4.0,5.0,5.0,4.0,4.0,5.0,4.0,4.0,,E2027,43.740952843500004,-79.2252456452,326914.886,4844368.716
186304,4155890,2017.0,2019,1959.0,PRIVATE,20,Scarborough Southwest,746 MIDLAND AVE,5,87,2019-11-20,86,Evaluation needs to be conducted in 3 years,18,5.0,4.0,5.0,4.0,4.0,4.0,,3.0,4.0,3.0,5.0,4.0,4.0,5.0,4.0,5.0,4.0,5.0,5.0,,E2024,43.7292557151,-79.256770973,324379.447,4843061.333000001
186305,4152780,2017.0,2019,1964.0,PRIVATE,20,Scarborough Southwest,121 MINERVA AVE,6,90,2019-11-20,83,Evaluation needs to be conducted in 3 years,20,5.0,5.0,5.0,4.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,3.0,5.0,4.0,3.0,4.0,5.0,4.0,E2032,43.7218512738,-79.2442216236,325392.95399999997,4842241.788
186306,4152781,2017.0,2019,1964.0,PRIVATE,20,Scarborough Southwest,131 MINERVA AVE,6,83,2019-11-20,81,Evaluation needs to be conducted in 3 years,20,5.0,4.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,3.0,5.0,4.0,3.0,4.0,5.0,4.0,E2032,43.722060301400006,-79.2433036928,325466.841,4842265.24
186307,4154029,2017.0,2019,1957.0,PRIVATE,8,Eglinton-Lawrence,41 LORINDALE AVE,3,26,2019-11-20,76,Evaluation needs to be conducted in 2 years,15,3.0,4.0,5.0,3.0,3.0,4.0,,5.0,,,3.0,3.0,5.0,4.0,4.0,4.0,,4.0,3.0,,N0825,43.7260668342,-79.4036329242,312548.482,4842683.012
186308,4154030,2017.0,2019,1957.0,PRIVATE,8,Eglinton-Lawrence,45 LORINDALE AVE,3,25,2019-11-20,73,Evaluation needs to be conducted in 2 years,15,3.0,4.0,5.0,3.0,3.0,4.0,,5.0,,,3.0,3.0,5.0,4.0,4.0,4.0,,3.0,2.0,,N0825,43.7262422092,-79.403851017,312530.88899999997,4842702.475
186309,4155634,2017.0,2019,1957.0,TCHC,8,Eglinton-Lawrence,1 OLD MEADOW LANE,4,30,2019-11-20,53,Evaluation needs to be conducted in 2 years,16,3.0,3.0,5.0,3.0,2.0,2.0,,2.0,,3.0,3.0,3.0,2.0,2.0,2.0,2.0,,2.0,3.0,,N0823,43.717314183999996,-79.443949262,309300.705,4841708.546
186310,4155629,2017.0,2019,1957.0,TCHC,8,Eglinton-Lawrence,3 OLD MEADOW LANE,4,30,2019-11-20,58,Evaluation needs to be conducted in 2 years,16,3.0,3.0,5.0,3.0,2.0,2.0,,3.0,,3.0,2.0,3.0,3.0,3.0,3.0,2.0,,3.0,3.0,,N0823,43.717989875,-79.444116728,309284.73699999996,4841788.238
186311,4152784,2017.0,2019,1967.0,PRIVATE,20,Scarborough Southwest,40 PARKCREST DR,12,100,2019-11-20,84,Evaluation needs to be conducted in 3 years,18,5.0,4.0,5.0,3.0,4.0,4.0,,4.0,5.0,,3.0,5.0,5.0,4.0,4.0,4.0,5.0,4.0,4.0,4.0,E2027,43.7353054239,-79.21998529380001,327340.686,4843742.709
186312,4155703,2017.0,2019,1976.0,PRIVATE,20,Scarborough Southwest,45 PARKCREST DR,8,92,2019-11-20,91,Evaluation needs to be conducted in 3 years,19,5.0,4.0,5.0,4.0,4.0,4.0,5.0,5.0,5.0,,4.0,5.0,5.0,5.0,4.0,4.0,4.0,5.0,4.0,5.0,E2027,43.736752063999994,-79.2186571,327390.438,4843831.657
186313,4152668,2019.0,2019,1955.0,PRIVATE,20,Scarborough Southwest,640 KENNEDY RD,3,18,2019-11-20,88,Evaluation needs to be conducted in 3 years,15,4.0,4.0,5.0,5.0,5.0,5.0,,3.0,,,5.0,5.0,5.0,5.0,4.0,3.0,,5.0,3.0,,E2023,43.724263108,-79.264921835,323733.455,4842492.069
186314,4152669,2019.0,2019,1954.0,PRIVATE,20,Scarborough Southwest,644 KENNEDY RD,3,18,2019-11-20,88,Evaluation needs to be conducted in 3 years,15,4.0,4.0,5.0,5.0,5.0,5.0,,3.0,,,4.0,5.0,5.0,5.0,4.0,4.0,,5.0,3.0,,E2023,43.724479726000006,-79.2652034401,323701.623,4842528.778
186315,4155566,2017.0,2019,1969.0,TCHC,20,Scarborough Southwest,675 KENNEDY RD,11,192,2019-11-20,76,Evaluation needs to be conducted in 2 years,19,3.0,4.0,5.0,3.0,4.0,5.0,4.0,2.0,3.0,,3.0,5.0,5.0,4.0,3.0,3.0,4.0,5.0,3.0,4.0,E2023,43.72687441,-79.265289789,323769.245,4842812.63
186316,4152671,2017.0,2019,1957.0,PRIVATE,20,Scarborough Southwest,708 KENNEDY RD,4,49,2019-11-20,90,Evaluation needs to be conducted in 3 years,18,5.0,4.0,5.0,5.0,5.0,5.0,,5.0,4.0,5.0,4.0,5.0,5.0,4.0,4.0,4.0,4.0,5.0,3.0,,E2023,43.728539445500004,-79.2674579982,323518.74,4842979.297
186317,4152672,2017.0,2019,1957.0,PRIVATE,20,Scarborough Southwest,712 KENNEDY RD,4,49,2019-11-20,89,Evaluation needs to be conducted in 3 years,18,5.0,4.0,5.0,5.0,5.0,4.0,,5.0,4.0,5.0,4.0,5.0,5.0,4.0,4.0,4.0,4.0,5.0,3.0,,E2023,43.728810663999994,-79.2674784317,323517.01,4843009.424
186318,4154484,2017.0,2019,1992.0,SOCIAL HOUSING,8,Eglinton-Lawrence,525 LAWRENCE AVE W,8,133,2019-11-20,89,Evaluation needs to be conducted in 3 years,19,4.0,5.0,4.0,5.0,4.0,5.0,4.0,5.0,5.0,,4.0,4.0,5.0,4.0,5.0,5.0,4.0,5.0,4.0,4.0,N0827,43.718611770100004,-79.4314251429,310310.053,4841852.53
186319,4154565,2017.0,2019,1954.0,PRIVATE,8,Eglinton-Lawrence,568 LAWRENCE AVE W,3,29,2019-11-20,75,Evaluation needs to be conducted in 2 years,15,4.0,4.0,4.0,4.0,4.0,4.0,,2.0,,,4.0,5.0,5.0,3.0,3.0,4.0,,3.0,3.0,,N0823,43.718310388,-79.435578125,309975.18100000004,4841819.728999999
186320,4154493,2017.0,2019,1967.0,PRIVATE,8,Eglinton-Lawrence,1049 LAWRENCE AVE W,3,20,2019-11-20,61,Evaluation needs to be conducted in 3 years,16,3.0,3.0,3.0,3.0,3.0,4.0,,3.0,,,3.0,3.0,5.0,2.0,2.0,2.0,4.0,3.0,3.0,,N0826,43.712614926099995,-79.4604691719,307970.05,4841184.777
186321,4152588,2017.0,2019,1967.0,PRIVATE,20,Scarborough Southwest,2550 KINGSTON RD,17,201,2019-11-20,85,Evaluation needs to be conducted in 3 years,19,5.0,5.0,5.0,5.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,4.0,4.0,4.0,5.0,4.0,4.0,,E2032,43.7123137855,-79.2481266679,325081.524,4841181.254
186322,4152587,2017.0,2019,1967.0,PRIVATE,20,Scarborough Southwest,2560 KINGSTON RD,17,201,2019-11-20,85,Evaluation needs to be conducted in 3 years,19,5.0,5.0,5.0,4.0,4.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,4.0,4.0,,E2032,43.712908607799996,-79.2474811669,325133.34,4841247.493
186323,4152586,2017.0,2019,1968.0,PRIVATE,20,Scarborough Southwest,2570 KINGSTON RD,10,117,2019-11-20,80,Evaluation needs to be conducted in 2 years,19,5.0,5.0,5.0,4.0,5.0,4.0,3.0,4.0,4.0,4.0,3.0,3.0,4.0,4.0,4.0,4.0,5.0,4.0,2.0,,E2032,43.713486558999996,-79.2466803233,325197.68,4841311.898
186324,4152779,2017.0,2019,1968.0,PRIVATE,20,Scarborough Southwest,3207 KINGSTON RD,5,53,2019-11-20,80,Evaluation needs to be conducted in 2 years,17,5.0,4.0,5.0,3.0,3.0,4.0,,4.0,4.0,,3.0,5.0,5.0,3.0,4.0,4.0,5.0,3.0,4.0,,E2037,43.7293849818,-79.2268912004,326786.54,4843083.157
186325,4156365,2017.0,2019,1967.0,PRIVATE,8,Eglinton-Lawrence,141 LYON CRT,18,142,2019-11-20,68,Evaluation needs to be conducted in 2 years,20,4.0,4.0,4.0,4.0,3.0,4.0,3.0,3.0,4.0,3.0,4.0,3.0,4.0,4.0,3.0,3.0,3.0,3.0,1.0,4.0,N0831,43.703293224700005,-79.4396796908,309620.459,4840134.478
186326,4152678,2017.0,2019,1971.0,PRIVATE,20,Scarborough Southwest,2223 EGLINTON AVE E,6,75,2019-11-20,78,Evaluation needs to be conducted in 2 years,18,4.0,4.0,5.0,3.0,3.0,4.0,3.0,4.0,4.0,,4.0,5.0,5.0,3.0,4.0,3.0,4.0,4.0,4.0,,E2023,43.729631061499994,-79.2767123962,322772.838,4843098.516
186327,4152683,2017.0,2019,1968.0,PRIVATE,20,Scarborough Southwest,2243 EGLINTON AVE E,6,91,2019-11-20,84,Evaluation needs to be conducted in 3 years,18,4.0,4.0,5.0,3.0,4.0,4.0,,4.0,5.0,4.0,4.0,5.0,5.0,4.0,5.0,4.0,3.0,4.0,5.0,,E2023,43.730150476700004,-79.2739999078,322991.213,4843156.818
186328,4152687,2017.0,2019,1964.0,PRIVATE,20,Scarborough Southwest,2283 EGLINTON AVE E,9,101,2019-11-20,90,Evaluation needs to be conducted in 3 years,18,5.0,4.0,5.0,5.0,4.0,5.0,,5.0,4.0,4.0,5.0,5.0,5.0,4.0,5.0,4.0,4.0,4.0,4.0,,E2023,43.730558372299996,-79.2723812981,323121.49100000004,4843202.493
186329,4152685,2017.0,2019,1968.0,PRIVATE,20,Scarborough Southwest,2303 EGLINTON AVE E,7,169,2019-11-20,85,Evaluation needs to be conducted in 3 years,19,5.0,4.0,5.0,5.0,4.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,,E2023,43.730751893800004,-79.2712141705,323215.458,4843224.2530000005
186330,4152684,2017.0,2019,1962.0,PRIVATE,20,Scarborough Southwest,2323 EGLINTON AVE E,7,75,2019-11-20,89,Evaluation needs to be conducted in 3 years,17,4.0,5.0,5.0,4.0,4.0,4.0,,5.0,4.0,,3.0,3.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,,E2023,43.731089491000006,-79.27051348,323259.124,4843268.708000001
186331,4152795,2017.0,2019,1968.0,PRIVATE,20,Scarborough Southwest,3091 EGLINTON AVE E,7,79,2019-11-20,88,Evaluation needs to be conducted in 3 years,19,5.0,5.0,5.0,4.0,4.0,4.0,4.0,5.0,4.0,5.0,4.0,4.0,4.0,5.0,4.0,4.0,5.0,5.0,4.0,,E2027,43.7409544272,-79.2260065723,326853.597,4844368.692
186332,4152790,2017.0,2019,1960.0,PRIVATE,20,Scarborough Southwest,3131 EGLINTON AVE E,7,82,2019-11-20,79,Evaluation needs to be conducted in 2 years,17,5.0,3.0,5.0,3.0,5.0,5.0,,5.0,5.0,,3.0,5.0,5.0,3.0,3.0,3.0,3.0,3.0,3.0,,E2027,43.741715689799996,-79.2228457117,327107.906,4844454.096
186333,4152791,2017.0,2019,1969.0,PRIVATE,20,Scarborough Southwest,3161 EGLINTON AVE E,12,166,2019-11-20,75,Evaluation needs to be conducted in 2 years,19,5.0,3.0,5.0,5.0,3.0,5.0,3.0,5.0,5.0,3.0,3.0,3.0,5.0,3.0,3.0,3.0,3.0,3.0,3.0,,E2027,43.741827577200006,-79.221378358,327226.05199999997,4844466.914
186334,4155943,2017.0,2019,1965.0,TCHC,20,Scarborough Southwest,3171 EGLINTON AVE E,12,161,2019-11-20,76,Evaluation needs to be conducted in 2 years,18,3.0,3.0,5.0,3.0,3.0,3.0,4.0,5.0,4.0,,3.0,5.0,5.0,5.0,2.0,3.0,4.0,5.0,3.0,,E2027,43.7426229529,-79.22004925,327332.807,4844555.63
186335,4156313,2017.0,2019,1965.0,TCHC,20,Scarborough Southwest,3181 EGLINTON AVE E,7,103,2019-11-20,61,Evaluation needs to be conducted in 1 year,19,2.0,3.0,5.0,3.0,3.0,5.0,3.0,5.0,3.0,,3.0,2.0,1.0,3.0,2.0,3.0,2.0,3.0,3.0,4.0,E2027,43.7426293696,-79.2196525266,327364.75800000003,4844556.449
186336,4152618,2017.0,2019,1956.0,PRIVATE,20,Scarborough Southwest,19 ENGELHART CRES,3,11,2019-11-20,76,Evaluation needs to be conducted in 2 years,16,4.0,3.0,4.0,3.0,3.0,3.0,,4.0,,4.0,4.0,4.0,5.0,4.0,4.0,4.0,,4.0,4.0,,E2021,43.722183084099996,-79.2995646388,320933.87899999996,4842266.448
186337,4152619,2017.0,2019,1956.0,PRIVATE,20,Scarborough Southwest,23 ENGELHART CRES,3,11,2019-11-20,76,Evaluation needs to be conducted in 2 years,16,4.0,3.0,4.0,3.0,3.0,3.0,,4.0,,4.0,4.0,4.0,5.0,4.0,4.0,4.0,,4.0,4.0,,E2021,43.722388403800004,-79.2991027155,320971.04,4842289.348
186338,4156455,2017.0,2019,1969.0,TCHC,20,Scarborough Southwest,20 EPPLEWORTH RD,3,36,2019-11-20,74,Evaluation needs to be conducted in 2 years,17,3.0,3.0,2.0,4.0,4.0,4.0,,3.0,,,4.0,5.0,4.0,4.0,3.0,3.0,5.0,4.0,3.0,5.0,E2023,43.726760854,-79.263575088,323859.729,4842772.896000001
186339,4156240,2017.0,2019,1969.0,TCHC,20,Scarborough Southwest,30 EPPLEWORTH RD,3,45,2019-11-20,75,Evaluation needs to be conducted in 2 years,17,3.0,4.0,2.0,3.0,4.0,4.0,,4.0,,,4.0,5.0,4.0,4.0,3.0,3.0,5.0,4.0,3.0,5.0,E2023,43.727206753999994,-79.263241732,323854.783,4842776.82
186340,4156468,2017.0,2019,1972.0,TCHC,20,Scarborough Southwest,10 GORDONRIDGE PL,16,217,2019-11-20,85,Evaluation needs to be conducted in 2 years,20,4.0,4.0,5.0,4.0,4.0,4.0,4.0,5.0,5.0,4.0,4.0,5.0,5.0,4.0,3.0,4.0,5.0,4.0,3.0,5.0,E2024,43.7269627406,-79.25229348149999,324713.92100000003,4842838.544
186341,4155957,2017.0,2019,1972.0,TCHC,20,Scarborough Southwest,30 GORDONRIDGE PL,17,231,2019-11-20,78,Evaluation needs to be conducted in 2 years,19,4.0,4.0,5.0,3.0,3.0,4.0,3.0,4.0,4.0,4.0,4.0,5.0,4.0,4.0,3.0,4.0,5.0,4.0,3.0,,E2024,43.726764513,-79.250888477,324750.497,4842822.528
186342,4155573,2017.0,2019,1972.0,TCHC,20,Scarborough Southwest,40 GORDONRIDGE PL,18,421,2019-11-20,76,Evaluation needs to be conducted in 2 years,19,4.0,4.0,5.0,3.0,3.0,4.0,3.0,4.0,4.0,4.0,4.0,5.0,4.0,3.0,3.0,4.0,5.0,3.0,3.0,,E2024,43.727612646000004,-79.251278648,324819.267,4842872.647
186343,4154491,2017.0,2019,1962.0,PRIVATE,8,Eglinton-Lawrence,435 GLEN PARK AVE,4,42,2019-11-20,72,Evaluation needs to be conducted in 2 years,18,3.0,4.0,3.0,4.0,3.0,4.0,,2.0,2.0,3.0,4.0,4.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,,N0826,43.7077057177,-79.4544291704,308457.083,4840639.629
186344,4154490,2017.0,2019,1962.0,PRIVATE,8,Eglinton-Lawrence,437 GLEN PARK AVE,4,43,2019-11-20,80,Evaluation needs to be conducted in 2 years,18,4.0,4.0,4.0,4.0,5.0,4.0,,4.0,4.0,4.0,5.0,5.0,5.0,3.0,4.0,3.0,4.0,3.0,3.0,,N0826,43.70751376729999,-79.4552760493,308388.845,4840618.272
186345,4152666,2020.0,2019,1958.0,PRIVATE,20,Scarborough Southwest,115 FOXRIDGE DR,3,10,2019-11-20,69,Evaluation needs to be conducted in 2 years,15,3.0,3.0,5.0,3.0,2.0,5.0,,3.0,,,3.0,3.0,5.0,3.0,3.0,3.0,,5.0,3.0,,E2023,43.7234871181,-79.2660288594,323635.43,4842418.318
186346,4155045,2020.0,2019,1959.0,PRIVATE,8,Eglinton-Lawrence,330 HOPEWELL AVE,7,67,2019-11-20,74,Evaluation needs to be conducted in 2 years,17,4.0,4.0,4.0,4.0,4.0,4.0,,3.0,4.0,,4.0,4.0,4.0,3.0,3.0,4.0,3.0,4.0,3.0,,N0831,43.7010141421,-79.44216061,309446.356,4839896.852
186347,4154224,2017.0,2019,1960.0,PRIVATE,7,Humber River-Black Creek,2600 JANE ST,13,115,2019-11-20,80,Evaluation needs to be conducted in 2 years,18,4.0,4.0,5.0,4.0,3.0,4.0,4.0,4.0,4.0,,4.0,4.0,4.0,3.0,4.0,4.0,5.0,4.0,4.0,,W0729,43.7405750446,-79.5143347224,303629.973,4844290.36
186348,4154683,2017.0,2019,1950.0,PRIVATE,8,Eglinton-Lawrence,2175 AVENUE RD,4,68,2019-11-19,84,Evaluation needs to be conducted in 3 years,18,5.0,4.0,5.0,4.0,4.0,4.0,,4.0,3.0,3.0,4.0,4.0,5.0,5.0,4.0,4.0,5.0,5.0,4.0,,N0821,43.7409197026,-79.4210747483,311141.686,4844331.521000001
186349,4152613,2017.0,2019,1960.0,PRIVATE,20,Scarborough Southwest,540 BIRCHMOUNT RD,4,27,2019-11-19,70,Evaluation needs to be conducted in 2 years,16,4.0,3.0,4.0,3.0,3.0,4.0,,4.0,,,4.0,3.0,5.0,3.0,4.0,3.0,3.0,3.0,3.0,,E2029,43.7107990699,-79.2702992344,323295.275,4841007.788
186350,4167765,2017.0,2019,2011.0,PRIVATE,20,Scarborough Southwest,550 BIRCHMOUNT RD,10,153,2019-11-19,86,Evaluation needs to be conducted in 3 years,19,4.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,4.0,,4.0,4.0,5.0,5.0,5.0,5.0,4.0,4.0,4.0,5.0,E2029,43.71136709899999,-79.27072123800001,323260.832,4841071.755
186351,4154673,2017.0,2019,1959.0,PRIVATE,8,Eglinton-Lawrence,12 BIDEFORD AVE,4,56,2019-11-19,83,Evaluation needs to be conducted in 3 years,18,5.0,4.0,5.0,4.0,4.0,4.0,4.0,3.0,4.0,5.0,4.0,4.0,5.0,4.0,4.0,4.0,,5.0,3.0,,N0821,43.740420337799996,-79.4237155283,310929.031,4844275.855
186352,4152594,2017.0,2019,1974.0,PRIVATE,20,Scarborough Southwest,50 BURN HILL RD,24,163,2019-11-19,89,Evaluation needs to be conducted in 3 years,18,5.0,3.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,,3.0,5.0,5.0,5.0,3.0,4.0,5.0,4.0,3.0,,E2028,43.699541833199994,-79.27673704840001,322779.857,4839755.728999999
186353,4152592,2018.0,2019,1962.0,PRIVATE,20,Scarborough Southwest,186 DANFORTH RD,4,15,2019-11-19,83,Evaluation needs to be conducted in 3 years,16,5.0,3.0,3.0,5.0,5.0,3.0,,5.0,,,3.0,5.0,5.0,4.0,5.0,3.0,4.0,4.0,4.0,,E2029,43.6993092047,-79.27375284060001,323020.45399999997,4839730.5430000005
186354,4152617,2017.0,2019,1965.0,PRIVATE,20,Scarborough Southwest,506 DANFORTH RD,3,22,2019-11-19,84,Evaluation needs to be conducted in 3 years,17,3.0,4.0,5.0,4.0,4.0,4.0,,5.0,,3.0,4.0,4.0,5.0,4.0,4.0,5.0,5.0,4.0,4.0,,E2030,43.709022115699995,-79.2673794919,323531.11100000003,4840811.032
186355,4154235,2017.0,2019,1970.0,PRIVATE,7,Humber River-Black Creek,45 DRIFTWOOD AVE,14,137,2019-11-19,61,Evaluation needs to be conducted in 2 years,18,4.0,3.0,4.0,4.0,3.0,4.0,2.0,3.0,3.0,,3.0,3.0,5.0,2.0,2.0,2.0,3.0,3.0,2.0,,W0730,43.7511483154,-79.5114796645,303860.109,4845464.976
186356,4154237,2017.0,2019,1970.0,PRIVATE,7,Humber River-Black Creek,50 DRIFTWOOD AVE,14,109,2019-11-19,87,Evaluation needs to be conducted in 3 years,18,5.0,4.0,5.0,4.0,4.0,4.0,,4.0,5.0,3.0,4.0,4.0,5.0,4.0,5.0,5.0,4.0,5.0,4.0,,W0730,43.7522915804,-79.51363863,303686.26,4845592.022
186357,4154274,2017.0,2019,2008.0,TCHC,7,Humber River-Black Creek,2350 FINCH AVE W,4,15,2019-11-19,66,Evaluation needs to be conducted in 2 years,18,3.0,4.0,5.0,2.0,3.0,2.0,3.0,3.0,3.0,,3.0,4.0,5.0,3.0,3.0,3.0,4.0,3.0,3.0,,W0722,43.752199466,-79.54396680100001,301243.618,4845583.62
186358,4288923,2017.0,2019,1959.0,PRIVATE,7,Humber River-Black Creek,2431 FINCH AVE W,6,115,2019-11-19,67,Evaluation needs to be conducted in 2 years,18,4.0,4.0,5.0,2.0,4.0,3.0,3.0,4.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,4.0,,3.0,4.0,,W0727,43.749611484,-79.54723458,300980.433,4845291.518
186359,4154278,2017.0,2019,1971.0,PRIVATE,7,Humber River-Black Creek,2600 FINCH AVE W,7,113,2019-11-19,69,Evaluation needs to be conducted in 2 years,19,4.0,4.0,5.0,3.0,4.0,3.0,3.0,4.0,4.0,3.0,3.0,4.0,5.0,3.0,3.0,2.0,4.0,3.0,2.0,,W0722,43.7481366262,-79.5632467315,299690.887,4845132.328
186360,4154251,2018.0,2019,1993.0,SOCIAL HOUSING,7,Humber River-Black Creek,3001 FINCH AVE W,14,166,2019-11-19,65,Evaluation needs to be conducted in 2 years,19,4.0,3.0,5.0,4.0,3.0,4.0,4.0,3.0,3.0,,3.0,3.0,3.0,3.0,4.0,3.0,3.0,2.0,2.0,3.0,W0727,43.7470791638,-79.56260122329999,299742.782,4845014.81
186361,4155561,2017.0,2019,1962.0,TCHC,20,Scarborough Southwest,1 FIRVALLEY CRT,12,115,2019-11-19,81,Evaluation needs to be conducted in 3 years,18,5.0,3.0,5.0,5.0,3.0,5.0,5.0,4.0,5.0,,3.0,5.0,3.0,3.0,5.0,3.0,3.0,3.0,5.0,,E2028,43.7029523574,-79.28102862850001,322432.94800000003,4840133.711
186362,4152595,2017.0,2019,1964.0,TCHC,20,Scarborough Southwest,40 FIRVALLEY CRT,15,168,2019-11-19,89,Evaluation needs to be conducted in 3 years,18,5.0,3.0,5.0,5.0,4.0,5.0,4.0,5.0,5.0,,3.0,5.0,5.0,5.0,3.0,5.0,3.0,5.0,5.0,,E2028,43.703580346,-79.279521109,322554.003,4840204.75
186363,4156493,2017.0,2019,1971.0,PRIVATE,7,Humber River-Black Creek,355 GRANDRAVINE DR,15,118,2019-11-19,78,Evaluation needs to be conducted in 2 years,20,3.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,5.0,4.0,4.0,4.0,3.0,5.0,4.0,4.0,W0732,43.746959357,-79.513143818,303707.642,4845032.763
186364,4156420,2017.0,2019,1971.0,PRIVATE,7,Humber River-Black Creek,365 GRANDRAVINE DR,15,118,2019-11-19,72,Evaluation needs to be conducted in 2 years,20,3.0,4.0,3.0,4.0,3.0,4.0,3.0,3.0,3.0,4.0,4.0,3.0,5.0,4.0,4.0,4.0,3.0,4.0,3.0,4.0,W0732,43.746846876000006,-79.51402768300001,303590.293,4844998.72
186365,4331737,,2019,1954.0,PRIVATE,20,Scarborough Southwest,2511 GERRARD ST E,3,11,2019-11-19,67,Evaluation needs to be conducted in 2 years,15,4.0,3.0,4.0,3.0,3.0,4.0,,3.0,,,3.0,3.0,3.0,3.0,4.0,3.0,,4.0,3.0,,E2033,43.6873957416,-79.2836217678,322228.49100000004,4838404.904
186366,4154476,2017.0,2019,1968.0,PRIVATE,7,Humber River-Black Creek,1 FOUNTAINHEAD RD,22,370,2019-11-19,68,Evaluation needs to be conducted in 2 years,19,4.0,3.0,5.0,3.0,3.0,3.0,4.0,4.0,3.0,,3.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0,4.0,3.0,W0726,43.76160337939999,-79.5015843988,304657.05100000004,4846626.4
